,No.,Name,Type,Candidate,Party,Votes (Vote%),Candidate.1,Party.1,Votes (Vote%).1,Margin,Margin %,State
141,1,Kangra,GEN,Kishan Kapoor,Bharatiya Janata Party,"7,25,218",Pawan Kajal,INC,"2,47,595","4,77,623",,Himachal Pradesh
142,2,Mandi,GEN,Ram Swaroop Sharma,Bharatiya Janata Party,"6,47,189",Aashray Sharma,INC,"2,41,730","4,05,459",,Himachal Pradesh
143,3,Hamirpur,GEN,Anurag Thakur,Bharatiya Janata Party,"6,82,692",Ram Lal Thakur,INC,"2,83,120","3,99,572",,Uttar Pradesh
144,4,Shimla,(SC),Suresh Kumar Kashyap,Bharatiya Janata Party,"6,06,183",Dhani Ram Shandil,INC,"2,78,668","3,27,515",,Himachal Pradesh
145,1,Baramulla,GEN,Mohammad Akbar Lone,Jammu & Kashmir National Conference,"1,33,376",Raja Aijaz Ali,Jammu and Kashmir People's Conference,"1,02,618","30,758",,Jammu and Kashmir
146,2,Srinagar,GEN,Farooq Abdullah,Jammu & Kashmir National Conference,"1,06,750",Aga Syed Mohsin,Jammu and Kashmir Peoples Democratic Party,"36,700","70,050",,Jammu and Kashmir
147,3,Anantnag,GEN,Hasnain Masoodi,Jammu & Kashmir National Conference,"40,180",Ghulam Ahmad Mir,INC,"33,504","6,676",,Jammu and Kashmir
148,4,Ladakh,GEN,Jamyang Tsering Namgyal,Bharatiya Janata Party,"42,914",Sajjad Hussain,Independent,"31,984","10,930",,Ladakh
149,5,Udhampur,GEN,Jitendra Singh,Bharatiya Janata Party,"7,24,311",Vikramaditya Singh,INC,"3,67,059","3,57,252",,Jammu and Kashmir
150,6,Jammu,GEN,Jugal Kishore Sharma,Bharatiya Janata Party,"8,58,066",Raman Bhalla,INC,"5,55,191","3,02,875",,Jammu and Kashmir
151,1,Rajmahal,(ST),Vijay Hansdak,Jharkhand Mukti Morcha,"5,07,830",Hemlal Murmu,Bharatiya Janata Party,"4,08,635","99,195",,Jharkhand
152,2,Dumka,(ST),Sunil Soren,Bharatiya Janata Party,"4,84,923",Shibu Soren,Jharkhand Mukti Morcha,"4,37,333","47,590",,Jharkhand
153,3,Godda,GEN,Nishikant Dubey,Bharatiya Janata Party,"6,37,610",Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik),"4,53,383","1,84,227",,Jharkhand
154,4,Chatra,GEN,Sunil Kumar Singh,Bharatiya Janata Party,"5,28,077",Manoj Kumar Yadav,INC,"1,50,206","3,77,871",,Jharkhand
155,5,Kodarma,GEN,Annapurna Devi Yadav,Bharatiya Janata Party,"7,53,016",Babulal Marandi,Jharkhand Vikas Morcha (Prajatantrik),"2,97,416","4,55,600",,Jharkhand
156,6,Giridih,GEN,Chandra Prakash Chaudhary,All Jharkhand Students Union,"6,48,277",Jagarnath Mahto,Jharkhand Mukti Morcha,"3,99,930","2,48,347",,Jharkhand
157,7,Dhanbad,GEN,Pashupati Nath Singh,Bharatiya Janata Party,"8,27,234",Kirti Azad,INC,"3,41,040","4,86,194",,Jharkhand
158,8,Ranchi,GEN,Sanjay Seth,Bharatiya Janata Party,"7,06,828",Subodh Kant Sahay,INC,"4,23,802","2,83,026",,Jharkhand
159,9,Jamshedpur,GEN,Vidyut Mahato,Bharatiya Janata Party,"6,79,632",Champai Soren,Jharkhand Mukti Morcha,"3,77,542","3,02,090",,Jharkhand
160,10,Singhbhum,(SC),Geeta Koda,INC,"4,31,815",Laxman Giluwa,Bharatiya Janata Party,"3,59,660","72,155",,Jharkhand
161,11,Khunti,(ST),Arjun Munda,Bharatiya Janata Party,"3,82,638",Kali Charan Munda,INC,"3,81,193","1,445",,Jharkhand
162,12,Lohardaga,(ST),Sudarshan Bhagat,Bharatiya Janata Party,"3,71,595",Sukhdeo Bhagat,INC,"3,61,232","10,363",,Jharkhand
163,13,Palamau,(SC),Vishnu Dayal Ram,Bharatiya Janata Party,"7,55,659",Ghuran Ram,Rashtriya Janata Dal,"2,78,053","4,77,606",,Jharkhand
164,14,Hazaribagh,GEN,Jayant Sinha,Bharatiya Janata Party,"7,28,798",Gopal Sahu,INC,"2,49,250","4,79,548",,Jharkhand
165,1,Chikkodi,GEN,Annasaheb Jolle,Bharatiya Janata Party,"6,45,017",Prakash Hukkeri,INC,"5,26,140","1,18,877",,Karnataka
166,2,Belgaum,GEN,Suresh Angadi,Bharatiya Janata Party,"7,61,991",Sadhunavar,INC,"3,70,687","3,91,304",,Karnataka
167,3,Bagalkot,GEN,P. C. Gaddigoudar,Bharatiya Janata Party,"6,64,638",Veena Kashappanavar,INC,"4,96,451","1,68,187",,Karnataka
168,4,Bijapur,(SC),Ramesh Jigajinagi,Bharatiya Janata Party,"6,35,867",Sunita Devanand Chavan,Janata Dal (Secular),"3,77,829","2,58,038",,Karnataka
